stimuli_5,correct_resp5,stimuli_5_reversed,correct_resp5_reversed,actual_correct_resp5_reversed
L_v.bmp,None,L_d.bmp,None,None
L_c.bmp,None,L_b.bmp,None,None
L_j.bmp,None,L_g.bmp,None,None
L_k.bmp,None,L_j.bmp,None,None
L_w.bmp,None,L_s.bmp,n,n
L_t.bmp,n,L_l.bmp,None,None
L_f.bmp,None,L_v.bmp,None,None
L_m.bmp,None,L_r.bmp,None,n
L_g.bmp,None,L_q.bmp,None,None
L_l.bmp,None,L_m.bmp,None,None
L_w.bmp,None,L_b.bmp,None,None
L_h.bmp,None,L_h.bmp,None,None
L_w.bmp,None,L_m.bmp,None,None
L_g.bmp,None,L_r.bmp,n,None
L_m.bmp,None,L_f.bmp,None,None
L_w.bmp,None,L_q.bmp,None,None
L_h.bmp,None,L_t.bmp,n,n
L_r.bmp,n,L_p.bmp,None,None
L_j.bmp,None,L_f.bmp,None,None
L_k.bmp,None,L_p.bmp,None,None
L_r.bmp,None,L_c.bmp,None,None
L_k.bmp,None,L_n.bmp,None,None
L_f.bmp,None,L_b.bmp,None,None
L_l.bmp,None,L_v.bmp,None,None
L_f.bmp,None,L_d.bmp,None,None
L_r.bmp,None,L_s.bmp,None,n
L_n.bmp,None,L_b.bmp,None,None
L_d.bmp,None,L_q.bmp,None,None
L_s.bmp,n,L_d.bmp,None,None
L_v.bmp,None,L_v.bmp,None,None
L_f.bmp,None,L_b.bmp,None,None
L_w.bmp,None,L_s.bmp,n,None
L_q.bmp,None,L_w.bmp,None,None
L_k.bmp,None,L_n.bmp,None,None
L_b.bmp,None,L_f.bmp,None,None
L_j.bmp,None,L_t.bmp,n,n
L_l.bmp,None,L_f.bmp,None,None
L_b.bmp,None,L_d.bmp,None,None
L_t.bmp,n,L_w.bmp,None,None
L_q.bmp,None,L_q.bmp,None,None
L_m.bmp,None,L_g.bmp,None,None
L_q.bmp,None,L_p.bmp,None,None
L_j.bmp,None,L_j.bmp,None,None
L_m.bmp,None,L_w.bmp,None,None
L_b.bmp,None,L_h.bmp,None,None
L_m.bmp,None,L_k.bmp,None,None
L_d.bmp,None,L_f.bmp,None,None
L_n.bmp,None,L_s.bmp,n,n
L_l.bmp,None,L_k.bmp,None,None
L_j.bmp,None,L_p.bmp,None,None
L_h.bmp,None,L_t.bmp,n,n
L_s.bmp,n,L_f.bmp,None,None
L_q.bmp,None,L_q.bmp,None,None
L_b.bmp,None,L_n.bmp,None,None
L_g.bmp,None,L_s.bmp,None,n
L_t.bmp,n,L_b.bmp,None,None
L_g.bmp,None,L_k.bmp,None,None
L_l.bmp,None,L_g.bmp,None,None
L_r.bmp,n,L_m.bmp,None,None
L_f.bmp,None,L_j.bmp,None,None
L_k.bmp,None,L_m.bmp,None,None
L_v.bmp,None,L_w.bmp,None,None
L_c.bmp,None,L_h.bmp,None,None
L_l.bmp,None,L_v.bmp,None,None
L_m.bmp,None,L_b.bmp,None,None
L_n.bmp,None,L_s.bmp,n,None
L_p.bmp,None,L_v.bmp,None,None
L_v.bmp,None,L_g.bmp,None,None
L_p.bmp,None,L_j.bmp,None,None
L_l.bmp,None,L_b.bmp,None,None
L_r.bmp,None,L_r.bmp,n,n
L_q.bmp,None,L_g.bmp,None,None
L_f.bmp,None,L_n.bmp,None,None
L_m.bmp,None,L_b.bmp,None,None
L_p.bmp,None,L_t.bmp,None,n
L_l.bmp,None,L_b.bmp,None,None
L_h.bmp,None,L_v.bmp,None,None
L_s.bmp,n,L_b.bmp,None,None
L_v.bmp,None,L_h.bmp,None,None
L_p.bmp,None,L_g.bmp,None,None
L_d.bmp,None,L_f.bmp,None,None
L_s.bmp,None,L_j.bmp,None,None
L_j.bmp,None,L_k.bmp,None,None
L_d.bmp,None,L_b.bmp,None,None
L_b.bmp,None,L_l.bmp,None,None
L_t.bmp,n,L_t.bmp,n,None
L_q.bmp,None,L_g.bmp,None,None
L_m.bmp,None,L_h.bmp,None,None
L_q.bmp,None,L_n.bmp,None,None
L_s.bmp,n,L_c.bmp,None,None
L_d.bmp,None,L_k.bmp,None,None
L_w.bmp,None,L_d.bmp,None,None
L_p.bmp,None,L_f.bmp,None,None
L_f.bmp,None,L_g.bmp,None,None
L_s.bmp,None,L_j.bmp,None,None
L_w.bmp,None,L_r.bmp,n,n
L_m.bmp,None,L_l.bmp,None,None
L_t.bmp,n,L_v.bmp,None,None
L_p.bmp,None,L_s.bmp,None,n
L_d.bmp,None,L_q.bmp,None,None
L_r.bmp,n,L_m.bmp,None,None
L_m.bmp,None,L_b.bmp,None,None
L_q.bmp,None,L_h.bmp,None,None
L_k.bmp,None,L_m.bmp,None,None
L_t.bmp,n,L_s.bmp,n,None
L_b.bmp,None,L_v.bmp,None,None
L_m.bmp,None,L_q.bmp,None,None
L_g.bmp,None,L_t.bmp,n,n
L_t.bmp,None,L_p.bmp,None,None
L_g.bmp,None,L_f.bmp,None,None
L_h.bmp,None,L_p.bmp,None,None
L_g.bmp,None,L_c.bmp,None,None
L_p.bmp,None,L_n.bmp,None,None
L_c.bmp,None,L_b.bmp,None,None
L_r.bmp,n,L_v.bmp,None,None
L_h.bmp,None,L_d.bmp,None,None
L_d.bmp,None,L_b.bmp,None,None
L_m.bmp,None,L_s.bmp,n,n
L_j.bmp,None,L_b.bmp,None,None
L_p.bmp,None,L_k.bmp,None,None
L_b.bmp,None,L_m.bmp,None,None
L_s.bmp,n,L_t.bmp,None,n
L_b.bmp,None,L_j.bmp,None,None
L_f.bmp,None,L_v.bmp,None,None
L_r.bmp,n,L_l.bmp,None,None
L_w.bmp,None,L_f.bmp,None,None
L_h.bmp,None,L_b.bmp,None,None
L_k.bmp,None,L_p.bmp,None,None
L_r.bmp,None,L_j.bmp,None,None
L_q.bmp,None,L_m.bmp,None,None
L_d.bmp,None,L_c.bmp,None,None
L_l.bmp,None,L_h.bmp,None,None
L_j.bmp,None,L_b.bmp,None,None
L_f.bmp,None,L_l.bmp,None,None
L_s.bmp,n,L_t.bmp,n,None
L_b.bmp,None,L_p.bmp,None,None
L_p.bmp,None,L_k.bmp,None,None
L_w.bmp,None,L_f.bmp,None,None
L_f.bmp,None,L_w.bmp,None,None
L_k.bmp,None,L_p.bmp,None,None
L_p.bmp,None,L_b.bmp,None,None
L_t.bmp,n,L_s.bmp,n,n
L_l.bmp,None,L_f.bmp,None,None
L_b.bmp,None,L_j.bmp,None,None
L_h.bmp,None,L_l.bmp,None,None
L_c.bmp,None,L_d.bmp,None,None
L_m.bmp,None,L_q.bmp,None,None
L_j.bmp,None,L_r.bmp,None,n
L_p.bmp,None,L_k.bmp,None,None
L_b.bmp,None,L_h.bmp,None,None
L_f.bmp,None,L_w.bmp,None,None
L_l.bmp,None,L_r.bmp,n,None
L_v.bmp,None,L_f.bmp,None,None
L_j.bmp,None,L_b.bmp,None,None
L_t.bmp,None,L_s.bmp,n,n
L_m.bmp,None,L_b.bmp,None,None
L_k.bmp,None,L_p.bmp,None,None
L_b.bmp,None,L_j.bmp,None,None
L_s.bmp,n,L_m.bmp,None,None
L_b.bmp,None,L_d.bmp,None,None
L_d.bmp,None,L_h.bmp,None,None
L_v.bmp,None,L_r.bmp,n,n
L_b.bmp,None,L_c.bmp,None,None
L_n.bmp,None,L_p.bmp,None,None
L_c.bmp,None,L_g.bmp,None,None
L_p.bmp,None,L_h.bmp,None,None
L_f.bmp,None,L_g.bmp,None,None
L_p.bmp,None,L_t.bmp,None,n
L_t.bmp,n,L_g.bmp,None,None
L_q.bmp,None,L_m.bmp,None,None
L_v.bmp,None,L_b.bmp,None,None
L_s.bmp,n,L_t.bmp,n,None
L_m.bmp,None,L_k.bmp,None,None
L_h.bmp,None,L_q.bmp,None,None
L_b.bmp,None,L_m.bmp,None,None
L_m.bmp,None,L_r.bmp,n,n
L_q.bmp,None,L_d.bmp,None,None
L_s.bmp,None,L_p.bmp,None,None
L_v.bmp,None,L_t.bmp,n,n
L_l.bmp,None,L_m.bmp,None,None
L_r.bmp,n,L_w.bmp,None,None
L_j.bmp,None,L_s.bmp,None,n
L_g.bmp,None,L_f.bmp,None,None
L_f.bmp,None,L_p.bmp,None,None
L_d.bmp,None,L_w.bmp,None,None
L_k.bmp,None,L_d.bmp,None,None
L_c.bmp,None,L_s.bmp,n,None
L_n.bmp,None,L_q.bmp,None,None
L_h.bmp,None,L_m.bmp,None,None
L_g.bmp,None,L_q.bmp,None,None
L_t.bmp,n,L_t.bmp,n,n
L_l.bmp,None,L_b.bmp,None,None
L_b.bmp,None,L_d.bmp,None,None
L_k.bmp,None,L_j.bmp,None,None
L_j.bmp,None,L_s.bmp,None,n
L_f.bmp,None,L_d.bmp,None,None
L_g.bmp,None,L_p.bmp,None,None
L_h.bmp,None,L_v.bmp,None,None
L_b.bmp,None,L_s.bmp,n,None
L_v.bmp,None,L_h.bmp,None,None
L_b.bmp,None,L_l.bmp,None,None
L_t.bmp,None,L_p.bmp,None,None
L_b.bmp,None,L_m.bmp,None,None
L_n.bmp,None,L_f.bmp,None,None
L_g.bmp,None,L_q.bmp,None,None
L_r.bmp,n,L_r.bmp,None,n
L_b.bmp,None,L_l.bmp,None,None
L_j.bmp,None,L_p.bmp,None,None
L_g.bmp,None,L_v.bmp,None,None
L_v.bmp,None,L_p.bmp,None,None
L_s.bmp,n,L_n.bmp,None,None
L_b.bmp,None,L_m.bmp,None,None
L_v.bmp,None,L_l.bmp,None,None
L_h.bmp,None,L_c.bmp,None,None
L_w.bmp,None,L_v.bmp,None,None
L_m.bmp,None,L_k.bmp,None,None
L_j.bmp,None,L_f.bmp,None,None
L_m.bmp,None,L_r.bmp,n,None
L_g.bmp,None,L_l.bmp,None,None
L_k.bmp,None,L_g.bmp,None,None
L_b.bmp,None,L_t.bmp,n,n
L_s.bmp,None,L_g.bmp,None,None
L_n.bmp,None,L_b.bmp,None,None
L_q.bmp,None,L_q.bmp,None,None
L_f.bmp,None,L_s.bmp,n,n
L_t.bmp,n,L_h.bmp,None,None
L_p.bmp,None,L_j.bmp,None,None
L_k.bmp,None,L_l.bmp,None,None
L_s.bmp,n,L_n.bmp,None,None
L_f.bmp,None,L_d.bmp,None,None
L_k.bmp,None,L_m.bmp,None,None
L_h.bmp,None,L_b.bmp,None,None
L_w.bmp,None,L_m.bmp,None,None
L_j.bmp,None,L_j.bmp,None,None
L_p.bmp,None,L_q.bmp,None,None
L_g.bmp,None,L_m.bmp,None,None
L_q.bmp,None,L_q.bmp,None,None
L_w.bmp,None,L_t.bmp,n,n
L_d.bmp,None,L_b.bmp,None,None
L_f.bmp,None,L_l.bmp,None,None
L_t.bmp,n,L_j.bmp,None,None
L_f.bmp,None,L_b.bmp,None,None
L_n.bmp,None,L_k.bmp,None,None
L_w.bmp,None,L_q.bmp,None,None
L_s.bmp,n,L_w.bmp,None,None
L_b.bmp,None,L_f.bmp,None,None
L_v.bmp,None,L_v.bmp,None,None
L_d.bmp,None,L_s.bmp,n,n
L_q.bmp,None,L_d.bmp,None,None
L_b.bmp,None,L_n.bmp,None,None
L_s.bmp,None,L_r.bmp,None,n
L_d.bmp,None,L_f.bmp,None,None
L_v.bmp,None,L_l.bmp,None,None
L_b.bmp,None,L_f.bmp,None,None
L_n.bmp,None,L_k.bmp,None,None
L_c.bmp,None,L_r.bmp,None,None
L_p.bmp,None,L_k.bmp,None,None
L_f.bmp,None,L_j.bmp,None,None
L_p.bmp,None,L_r.bmp,n,None
L_t.bmp,n,L_h.bmp,None,None
L_q.bmp,None,L_w.bmp,None,None
L_f.bmp,None,L_m.bmp,None,None
L_r.bmp,n,L_g.bmp,None,None
L_m.bmp,None,L_w.bmp,None,None
L_h.bmp,None,L_h.bmp,None,None
L_b.bmp,None,L_w.bmp,None,None
L_m.bmp,None,L_l.bmp,None,None
L_q.bmp,None,L_g.bmp,None,None
L_r.bmp,None,L_m.bmp,None,None
L_v.bmp,None,L_f.bmp,None,None
L_l.bmp,None,L_t.bmp,n,n
L_s.bmp,n,L_w.bmp,None,None
L_j.bmp,None,L_k.bmp,None,None
L_g.bmp,None,L_j.bmp,None,None
L_b.bmp,None,L_c.bmp,None,None
L_d.bmp,None,L_v.bmp,None,None
,,,,None
,,,,None
,,,,None
,,,,None
,,,,n
,,,,None
,,,,None
,,,,n
,,,,None
,,,,None
,,,,None
,,,,None
,,,,None
,,,,None
,,,,None
,,,,None
,,,,n
,,,,None
,,,,None
,,,,None
,,,,None
,,,,None
,,,,None
,,,,None
,,,,None
,,,,n
,,,,None
,,,,None
,,,,None
,,,,None
,,,,None
,,,,None
,,,,None
,,,,None
,,,,None
,,,,n
,,,,None
,,,,None
,,,,None
,,,,None
,,,,None
,,,,None
,,,,None
,,,,None
,,,,None
,,,,None
,,,,None
,,,,n
,,,,None
,,,,None
,,,,n
,,,,None
,,,,None
,,,,None
,,,,n
,,,,None
,,,,None
,,,,None
,,,,None
,,,,None
,,,,None
,,,,None
,,,,None
,,,,None
,,,,None
,,,,None
,,,,None
,,,,None
,,,,None
,,,,None
,,,,n
,,,,None
,,,,None
,,,,None
,,,,n
,,,,None
,,,,None
,,,,None
,,,,None
,,,,None
,,,,None
,,,,None
,,,,None
,,,,None
,,,,None
,,,,None
,,,,None
,,,,None
,,,,None
,,,,None
,,,,None
,,,,None
,,,,None
,,,,None
,,,,None
,,,,n
,,,,None
,,,,None
,,,,n
,,,,None
,,,,None
,,,,None
,,,,None
,,,,None
,,,,None
,,,,None
,,,,None
,,,,n
,,,,None
,,,,None
,,,,None
,,,,None
,,,,None
,,,,None
,,,,None
,,,,None
,,,,None
,,,,n
,,,,None
,,,,None
,,,,None
,,,,n
,,,,None
,,,,None
,,,,None
,,,,None
,,,,None
,,,,None
,,,,None
,,,,None
,,,,None
,,,,None
,,,,None
,,,,None
,,,,None
,,,,None
,,,,None
,,,,None
,,,,None
,,,,None
,,,,None
,,,,n
,,,,None
,,,,None
,,,,None
,,,,None
,,,,None
,,,,n
,,,,None
,,,,None
,,,,None
,,,,None
,,,,None
,,,,None
,,,,n
,,,,None
,,,,None
,,,,None
,,,,None
,,,,None
,,,,None
,,,,n
,,,,None
,,,,None
,,,,None
,,,,None
,,,,None
,,,,n
,,,,None
,,,,None
,,,,None
,,,,None
,,,,None
,,,,None
,,,,None
,,,,n
,,,,None
,,,,None
,,,,n
,,,,None
,,,,None
,,,,n
,,,,None
,,,,None
,,,,None
,,,,None
,,,,None
,,,,None
,,,,None
,,,,None
,,,,n
,,,,None
,,,,None
,,,,None
,,,,n
,,,,None
,,,,None
,,,,None
,,,,None
,,,,None
,,,,None
,,,,None
,,,,None
,,,,None
,,,,None
,,,,n
,,,,None
,,,,None
,,,,None
,,,,None
,,,,None
,,,,None
,,,,None
,,,,None
,,,,None
,,,,None
,,,,None
,,,,None
,,,,None
,,,,None
,,,,n
,,,,None
,,,,None
,,,,None
,,,,n
,,,,None
,,,,None
,,,,None
,,,,None
,,,,None
,,,,None
,,,,None
,,,,None
,,,,None
,,,,None
,,,,None
,,,,None
,,,,n
,,,,None
,,,,None
,,,,None
,,,,None
,,,,None
,,,,None
,,,,None
,,,,None
,,,,None
,,,,n
,,,,None
,,,,None
,,,,n
,,,,None
,,,,None
,,,,None
,,,,None
,,,,None
,,,,None
,,,,None
,,,,None
,,,,None
,,,,None
,,,,None
,,,,None
,,,,None
,,,,None
,,,,None
,,,,None
,,,,None
,,,,None
,,,,None
,,,,n
,,,,None
,,,,None
,,,,None
,,,,None
,,,,None