stimuli_1,block1_resp.keys,correct_resp1,block1_resp.corr,block1_resp.rt,stimuli_2,block2_resp.keys,correct_resp2,block2_resp.corr,block2_resp.rt,stimuli_4,correct_resp4,block4_resp.keys,block4_resp.corr,block4_resp.rt,stimuli_5_reversed,block5_resp.keys,correct_resp5,block5_resp.corr,block5_resp.rt
L_b.bmp,None,None,1.0,,L_n.bmp,None,None,1.0,,L_m.bmp,None,None,1.0,,L_d.bmp,None,None,1,
L_k.bmp,None,None,1.0,,L_q.bmp,None,None,1.0,,L_b.bmp,None,None,1.0,,L_b.bmp,None,None,1,
L_s.bmp,None,n,0.0,,L_f.bmp,None,None,1.0,,L_s.bmp,n,n,1.0,0.6983825999777764,L_g.bmp,None,None,1,
L_g.bmp,n,None,0.0,0.0057662000181153,L_r.bmp,None,n,0.0,,L_b.bmp,None,None,1.0,,L_j.bmp,None,None,1,
L_j.bmp,None,None,1.0,,L_p.bmp,None,None,1.0,,L_d.bmp,None,None,1.0,,L_s.bmp,n,n,1,0.6270282999612391
L_b.bmp,None,None,1.0,,L_k.bmp,None,None,1.0,,L_v.bmp,None,None,1.0,,L_l.bmp,None,None,1,
L_r.bmp,None,n,0.0,,L_m.bmp,None,None,1.0,,L_b.bmp,None,None,1.0,,L_v.bmp,None,None,1,
L_j.bmp,n,None,0.0,0.4841236999491229,L_f.bmp,None,None,1.0,,L_n.bmp,None,None,1.0,,L_r.bmp,None,n,0,
L_b.bmp,None,None,1.0,,L_k.bmp,None,None,1.0,,L_c.bmp,None,None,1.0,,L_q.bmp,n,None,0,0.5099198999814689
L_n.bmp,None,None,1.0,,L_s.bmp,n,n,1.0,0.596096400055103,L_p.bmp,None,None,1.0,,L_m.bmp,None,None,1,
L_l.bmp,n,None,0.0,0.021344400011003,L_w.bmp,None,None,1.0,,L_f.bmp,None,None,1.0,,L_b.bmp,None,None,1,
L_j.bmp,None,None,1.0,,L_j.bmp,None,None,1.0,,L_p.bmp,None,None,1.0,,L_h.bmp,None,None,1,
L_h.bmp,None,None,1.0,,L_p.bmp,None,None,1.0,,L_t.bmp,n,n,1.0,0.6210170000558719,L_m.bmp,None,None,1,
L_r.bmp,None,n,0.0,,L_g.bmp,None,None,1.0,,L_q.bmp,None,None,1.0,,L_r.bmp,None,None,1,
L_q.bmp,None,None,1.0,,L_q.bmp,None,None,1.0,,L_p.bmp,None,None,1.0,,L_f.bmp,None,None,1,
L_b.bmp,None,None,1.0,,L_w.bmp,None,None,1.0,,L_m.bmp,None,None,1.0,,L_q.bmp,None,None,1,
L_g.bmp,None,None,1.0,,L_s.bmp,n,None,0.0,0.6629668999230489,L_s.bmp,n,n,1.0,0.5718194999499246,L_t.bmp,n,n,1,0.6896317000500858
L_r.bmp,None,n,0.0,,L_f.bmp,None,None,1.0,,L_h.bmp,None,None,1.0,,L_p.bmp,None,None,1,
L_f.bmp,n,None,0.0,0.640006999950856,L_m.bmp,None,None,1.0,,L_b.bmp,None,None,1.0,,L_f.bmp,None,None,1,
L_g.bmp,None,None,1.0,,L_j.bmp,None,None,1.0,,L_m.bmp,None,None,1.0,,L_p.bmp,None,None,1,
L_v.bmp,None,None,1.0,,L_k.bmp,None,None,1.0,,L_s.bmp,n,n,1.0,0.678970200009644,L_c.bmp,None,None,1,
L_f.bmp,None,None,1.0,,L_r.bmp,None,n,0.0,,L_q.bmp,None,None,1.0,,L_n.bmp,None,None,1,
L_g.bmp,None,None,1.0,,L_k.bmp,n,None,0.0,0.2302420000778511,L_v.bmp,None,None,1.0,,L_b.bmp,None,None,1,
L_h.bmp,None,None,1.0,,L_f.bmp,None,None,1.0,,L_l.bmp,None,None,1.0,,L_v.bmp,None,None,1,
L_b.bmp,None,None,1.0,,L_l.bmp,None,None,1.0,,L_s.bmp,n,None,0.0,,L_d.bmp,None,None,1,
L_v.bmp,None,None,1.0,,L_s.bmp,None,n,0.0,,L_j.bmp,None,n,0.0,0.1790996000636369,L_s.bmp,None,n,0,
L_c.bmp,None,None,1.0,,L_n.bmp,n,None,0.0,0.0664028000319376,L_g.bmp,None,None,1.0,,L_b.bmp,n,None,0,0.044478700030595
L_l.bmp,None,None,1.0,,L_d.bmp,None,None,1.0,,L_f.bmp,None,None,1.0,,L_q.bmp,None,None,1,
L_m.bmp,None,None,1.0,,L_r.bmp,None,n,0.0,,L_t.bmp,n,n,1.0,0.6034139000112191,L_d.bmp,None,None,1,
L_n.bmp,None,None,1.0,,L_v.bmp,n,None,0.0,0.4081366000464186,L_d.bmp,None,None,1.0,,L_v.bmp,None,None,1,
L_p.bmp,None,None,1.0,,L_f.bmp,None,None,1.0,,L_c.bmp,None,None,1.0,,L_b.bmp,None,None,1,
L_v.bmp,None,None,1.0,,L_w.bmp,None,None,1.0,,L_n.bmp,None,None,1.0,,L_s.bmp,None,None,1,
L_p.bmp,None,None,1.0,,L_q.bmp,None,None,1.0,,L_h.bmp,None,None,1.0,,L_w.bmp,None,None,1,
L_l.bmp,None,None,1.0,,L_k.bmp,None,None,1.0,,L_g.bmp,None,None,1.0,,L_n.bmp,None,None,1,
L_r.bmp,n,n,1.0,0.6653357000323012,L_b.bmp,None,None,1.0,,L_l.bmp,None,None,1.0,,L_f.bmp,None,None,1,
L_q.bmp,None,None,1.0,,L_j.bmp,None,None,1.0,,L_b.bmp,None,None,1.0,,L_t.bmp,None,n,0,
L_g.bmp,None,None,1.0,,L_k.bmp,None,None,1.0,,L_t.bmp,n,None,0.0,,L_f.bmp,n,None,0,0.5990706000011414
L_r.bmp,None,n,0.0,,L_b.bmp,None,None,1.0,,L_k.bmp,None,n,0.0,0.3159423000179231,L_d.bmp,None,None,1,
L_b.bmp,n,None,0.0,0.2121503000380471,L_r.bmp,None,None,1.0,,L_j.bmp,None,None,1.0,,L_w.bmp,None,None,1,
L_j.bmp,None,None,1.0,,L_q.bmp,None,None,1.0,,L_f.bmp,None,None,1.0,,L_q.bmp,None,None,1,
L_g.bmp,None,None,1.0,,L_m.bmp,None,None,1.0,,L_g.bmp,None,None,1.0,,L_g.bmp,None,None,1,
L_s.bmp,n,n,1.0,0.5245479999575764,L_q.bmp,None,None,1.0,,L_h.bmp,None,None,1.0,,L_p.bmp,None,None,1,
L_v.bmp,None,None,1.0,,L_f.bmp,None,None,1.0,,L_b.bmp,None,None,1.0,,L_j.bmp,None,None,1,
L_m.bmp,None,None,1.0,,L_j.bmp,None,None,1.0,,L_v.bmp,None,None,1.0,,L_w.bmp,None,None,1,
L_b.bmp,None,None,1.0,,L_m.bmp,None,None,1.0,,L_b.bmp,None,None,1.0,,L_h.bmp,None,None,1,
L_s.bmp,n,n,1.0,0.614577200030908,L_b.bmp,None,None,1.0,,L_r.bmp,n,n,1.0,0.6495514999842271,L_k.bmp,None,None,1,
L_b.bmp,None,None,1.0,,L_j.bmp,None,None,1.0,,L_b.bmp,None,None,1.0,,L_f.bmp,None,None,1,
L_d.bmp,None,None,1.0,,L_m.bmp,None,None,1.0,,L_n.bmp,None,None,1.0,,L_s.bmp,n,n,1,0.6914104000898078
L_v.bmp,None,None,1.0,,L_n.bmp,None,None,1.0,,L_l.bmp,None,None,1.0,,L_k.bmp,None,None,1,
L_b.bmp,None,None,1.0,,L_f.bmp,None,None,1.0,,L_j.bmp,None,None,1.0,,L_p.bmp,None,None,1,
L_n.bmp,None,None,1.0,,L_m.bmp,None,None,1.0,,L_h.bmp,None,None,1.0,,L_t.bmp,None,n,0,
L_c.bmp,None,None,1.0,,L_p.bmp,None,None,1.0,,L_t.bmp,n,n,1.0,0.6308237999910489,L_f.bmp,None,None,1,
L_p.bmp,None,None,1.0,,L_l.bmp,None,None,1.0,,L_q.bmp,None,None,1.0,,L_q.bmp,None,None,1,
L_f.bmp,None,None,1.0,,L_h.bmp,None,None,1.0,,L_b.bmp,None,None,1.0,,L_n.bmp,None,None,1,
L_p.bmp,None,None,1.0,,L_s.bmp,n,n,1.0,0.6010389999719337,L_g.bmp,None,None,1.0,,L_s.bmp,n,n,1,0.7008729999652132
L_r.bmp,n,n,1.0,0.6399494999786839,L_v.bmp,None,None,1.0,,L_t.bmp,n,None,0.0,,L_b.bmp,None,None,1,
L_q.bmp,None,None,1.0,,L_h.bmp,None,None,1.0,,L_g.bmp,None,None,1.0,,L_k.bmp,None,None,1,
L_f.bmp,None,None,1.0,,L_k.bmp,None,None,1.0,,L_k.bmp,None,None,1.0,,L_g.bmp,None,None,1,
L_s.bmp,n,n,1.0,0.59994459990412,L_r.bmp,None,n,0.0,,L_f.bmp,None,None,1.0,,L_m.bmp,None,None,1,
L_m.bmp,None,None,1.0,,L_q.bmp,n,None,0.0,0.2149077999638393,L_l.bmp,None,None,1.0,,L_j.bmp,None,None,1,
L_h.bmp,None,None,1.0,,L_d.bmp,None,None,1.0,,L_r.bmp,n,n,1.0,0.7055891000200063,L_m.bmp,None,None,1,
L_b.bmp,None,None,1.0,,L_m.bmp,None,None,1.0,,L_v.bmp,None,None,1.0,,L_w.bmp,None,None,1,
L_m.bmp,None,None,1.0,,L_j.bmp,None,None,1.0,,L_c.bmp,None,None,1.0,,L_h.bmp,None,None,1,
L_q.bmp,None,None,1.0,,L_f.bmp,None,None,1.0,,L_l.bmp,None,None,1.0,,L_v.bmp,None,None,1,
L_s.bmp,n,n,1.0,0.5993406999623403,L_d.bmp,None,None,1.0,,L_m.bmp,None,None,1.0,,L_b.bmp,None,None,1,
L_v.bmp,None,None,1.0,,L_b.bmp,None,None,1.0,,L_n.bmp,None,None,1.0,,L_s.bmp,None,None,1,
L_l.bmp,None,None,1.0,,L_p.bmp,None,None,1.0,,L_r.bmp,n,None,0.0,,L_v.bmp,None,None,1,
L_s.bmp,None,n,0.0,,L_w.bmp,None,None,1.0,,L_f.bmp,None,n,0.0,0.0808328000130131,L_g.bmp,None,None,1,
L_j.bmp,n,None,0.0,0.0020949998870491,L_d.bmp,None,None,1.0,,L_p.bmp,None,None,1.0,,L_j.bmp,None,None,1,
L_g.bmp,None,None,1.0,,L_f.bmp,None,None,1.0,,L_l.bmp,None,None,1.0,,L_b.bmp,None,None,1,
L_f.bmp,None,None,1.0,,L_r.bmp,None,None,1.0,,L_r.bmp,n,None,0.0,,L_r.bmp,n,n,1,0.6702896000351757
L_d.bmp,None,None,1.0,,L_p.bmp,None,None,1.0,,L_q.bmp,None,None,1.0,,L_g.bmp,None,None,1,
L_r.bmp,n,n,1.0,0.5891115000704303,L_d.bmp,None,None,1.0,,L_g.bmp,None,None,1.0,,L_n.bmp,None,None,1,
L_c.bmp,None,None,1.0,,L_l.bmp,None,None,1.0,,L_r.bmp,n,None,0.0,,L_b.bmp,None,None,1,
L_n.bmp,None,None,1.0,,L_h.bmp,None,None,1.0,,L_b.bmp,None,n,0.0,0.0522875000024214,L_t.bmp,None,n,0,
L_h.bmp,None,None,1.0,,L_l.bmp,None,None,1.0,,L_j.bmp,None,None,1.0,,L_b.bmp,n,None,0,0.5081138000823557
L_g.bmp,None,None,1.0,,L_m.bmp,None,None,1.0,,L_g.bmp,None,None,1.0,,L_v.bmp,None,None,1,
L_l.bmp,None,None,1.0,,L_j.bmp,None,None,1.0,,L_v.bmp,None,None,1.0,,L_b.bmp,None,None,1,
L_s.bmp,n,n,1.0,0.6377624999731779,L_p.bmp,None,None,1.0,,L_s.bmp,n,None,0.0,,L_h.bmp,None,None,1,
L_f.bmp,None,None,1.0,,L_b.bmp,None,None,1.0,,L_b.bmp,None,n,0.0,0.1004894999787211,L_g.bmp,None,None,1,
L_n.bmp,None,None,1.0,,L_f.bmp,None,None,1.0,,L_v.bmp,None,None,1.0,,L_f.bmp,None,None,1,
L_w.bmp,None,None,1.0,,L_s.bmp,n,n,1.0,0.6228083000751212,L_h.bmp,None,None,1.0,,L_j.bmp,None,None,1,
L_b.bmp,None,None,1.0,,L_l.bmp,None,None,1.0,,L_w.bmp,None,None,1.0,,L_k.bmp,None,None,1,
L_v.bmp,None,None,1.0,,L_j.bmp,None,None,1.0,,L_m.bmp,None,None,1.0,,L_b.bmp,None,None,1,
L_s.bmp,n,n,1.0,0.491810500039719,L_r.bmp,None,n,0.0,,L_j.bmp,None,None,1.0,,L_l.bmp,None,None,1,
L_q.bmp,None,None,1.0,,L_m.bmp,n,None,0.0,0.1057998000178486,L_m.bmp,None,None,1.0,,L_t.bmp,None,None,1,
L_d.bmp,None,None,1.0,,L_v.bmp,None,None,1.0,,L_g.bmp,None,None,1.0,,L_g.bmp,n,None,0,0.0240360000170767
L_r.bmp,None,n,0.0,,L_d.bmp,None,None,1.0,,L_k.bmp,None,None,1.0,,L_h.bmp,None,None,1,
L_v.bmp,n,None,0.0,0.0223247000249102,L_s.bmp,n,n,1.0,0.6090738999191672,L_b.bmp,None,None,1.0,,L_n.bmp,None,None,1,
L_c.bmp,None,None,1.0,,L_j.bmp,None,None,1.0,,L_r.bmp,n,None,0.0,,L_c.bmp,None,None,1,
L_j.bmp,None,None,1.0,,L_d.bmp,None,None,1.0,,L_n.bmp,None,n,0.0,0.1093516999389976,L_k.bmp,None,None,1,
L_k.bmp,None,None,1.0,,L_b.bmp,None,None,1.0,,L_q.bmp,None,None,1.0,,L_d.bmp,None,None,1,
L_w.bmp,None,None,1.0,,L_s.bmp,n,None,0.0,0.6838421999709681,L_f.bmp,None,None,1.0,,L_f.bmp,None,None,1,
L_s.bmp,n,n,1.0,0.5630134000675753,L_q.bmp,None,None,1.0,,L_t.bmp,n,None,0.0,,L_g.bmp,None,None,1,
L_f.bmp,None,None,1.0,,L_m.bmp,None,None,1.0,,L_p.bmp,None,n,0.0,0.3194356999592855,L_j.bmp,None,None,1,
L_m.bmp,None,None,1.0,,L_q.bmp,None,None,1.0,,L_k.bmp,None,None,1.0,,L_r.bmp,None,n,0,
L_g.bmp,None,None,1.0,,L_d.bmp,None,None,1.0,,L_g.bmp,None,None,1.0,,L_l.bmp,n,None,0,0.0344444999936968
L_l.bmp,None,None,1.0,,L_r.bmp,None,n,0.0,,L_f.bmp,None,None,1.0,,L_v.bmp,None,None,1,
L_w.bmp,None,None,1.0,,L_w.bmp,n,None,0.0,0.0908822000492364,L_k.bmp,None,None,1.0,,L_s.bmp,None,n,0,
L_h.bmp,None,None,1.0,,L_p.bmp,None,None,1.0,,L_q.bmp,None,None,1.0,,L_q.bmp,n,None,0,0.4105591999832541
L_w.bmp,None,None,1.0,,L_s.bmp,None,n,0.0,,L_w.bmp,None,None,1.0,,L_m.bmp,None,None,1,
L_g.bmp,None,None,1.0,,L_f.bmp,None,None,1.0,,L_j.bmp,None,None,1.0,,L_b.bmp,None,None,1,
L_m.bmp,None,None,1.0,,L_w.bmp,None,None,1.0,,L_p.bmp,None,None,1.0,,L_h.bmp,None,None,1,
L_w.bmp,None,None,1.0,,L_m.bmp,None,None,1.0,,L_g.bmp,None,None,1.0,,L_m.bmp,None,None,1,
L_h.bmp,None,None,1.0,,L_r.bmp,None,n,0.0,,L_q.bmp,None,None,1.0,,L_s.bmp,None,None,1,
L_r.bmp,None,n,0.0,,L_p.bmp,n,None,0.0,0.1248558000661432,L_w.bmp,None,None,1.0,,L_v.bmp,None,None,1,
L_b.bmp,n,None,0.0,0.036366100073792,L_d.bmp,None,None,1.0,,L_d.bmp,None,None,1.0,,L_q.bmp,None,None,1,
L_v.bmp,None,None,1.0,,L_c.bmp,None,None,1.0,,L_f.bmp,None,None,1.0,,L_t.bmp,n,n,1,0.623117099981755
L_h.bmp,None,None,1.0,,L_s.bmp,None,n,0.0,,L_s.bmp,n,None,0.0,,L_p.bmp,None,None,1,
L_w.bmp,None,None,1.0,,L_q.bmp,n,None,0.0,0.1515683999750763,L_f.bmp,None,None,1.0,,L_f.bmp,None,None,1,
L_m.bmp,None,None,1.0,,L_k.bmp,None,None,1.0,,L_n.bmp,None,None,1.0,,L_p.bmp,None,None,1,
L_j.bmp,None,None,1.0,,L_b.bmp,None,None,1.0,,L_w.bmp,None,None,1.0,,L_c.bmp,None,None,1,
L_m.bmp,None,None,1.0,,L_r.bmp,n,n,1.0,0.5918271000264212,L_b.bmp,None,None,1.0,,L_n.bmp,None,None,1,
L_g.bmp,None,None,1.0,,L_m.bmp,None,None,1.0,,L_s.bmp,n,None,0.0,,L_b.bmp,None,None,1,
L_k.bmp,None,None,1.0,,L_l.bmp,None,None,1.0,,L_v.bmp,None,n,0.0,0.0612765999976545,L_v.bmp,None,None,1,
L_b.bmp,None,None,1.0,,L_h.bmp,None,None,1.0,,L_q.bmp,None,None,1.0,,L_d.bmp,None,None,1,
L_r.bmp,n,n,1.0,0.5437210999662057,L_g.bmp,None,None,1.0,,L_d.bmp,None,None,1.0,,L_b.bmp,None,None,1,
L_n.bmp,None,None,1.0,,L_r.bmp,None,None,1.0,,L_r.bmp,n,None,0.0,,L_s.bmp,None,n,0,
L_q.bmp,None,None,1.0,,L_g.bmp,None,None,1.0,,L_v.bmp,None,None,1.0,,L_b.bmp,n,None,0,0.3784864000044763
L_f.bmp,None,None,1.0,,L_p.bmp,None,None,1.0,,L_c.bmp,None,None,1.0,,L_k.bmp,None,None,1,
L_r.bmp,None,n,0.0,,L_c.bmp,None,None,1.0,,L_j.bmp,None,None,1.0,,L_m.bmp,None,None,1,
L_p.bmp,None,None,1.0,,L_s.bmp,n,n,1.0,0.679106600000523,L_k.bmp,None,None,1.0,,L_t.bmp,None,n,0,
L_k.bmp,None,None,1.0,,L_g.bmp,n,None,0.0,0.1053603000473231,L_w.bmp,None,None,1.0,,L_j.bmp,n,None,0,0.2777737999567762
L_s.bmp,n,n,1.0,0.5445290000643581,L_h.bmp,None,None,1.0,,L_t.bmp,n,n,1.0,0.6406456999247894,L_v.bmp,None,None,1,
L_f.bmp,None,None,1.0,,L_m.bmp,None,None,1.0,,L_f.bmp,None,None,1.0,,L_l.bmp,None,None,1,
L_g.bmp,None,None,1.0,,L_j.bmp,None,None,1.0,,L_m.bmp,None,None,1.0,,L_f.bmp,None,None,1,
L_k.bmp,None,None,1.0,,L_p.bmp,None,None,1.0,,L_g.bmp,None,None,1.0,,L_b.bmp,None,None,1,
L_w.bmp,None,None,1.0,,L_b.bmp,None,None,1.0,,L_l.bmp,None,None,1.0,,L_p.bmp,None,None,1,
L_j.bmp,None,None,1.0,,L_s.bmp,None,None,1.0,,L_w.bmp,None,None,1.0,,L_j.bmp,None,None,1,
L_p.bmp,None,None,1.0,,L_g.bmp,n,None,0.0,0.1877048999303951,L_h.bmp,None,None,1.0,,L_m.bmp,None,None,1,
L_g.bmp,None,None,1.0,,L_b.bmp,None,None,1.0,,L_w.bmp,None,None,1.0,,L_c.bmp,None,None,1,
L_q.bmp,None,None,1.0,,L_w.bmp,None,None,1.0,,L_g.bmp,None,None,1.0,,L_h.bmp,None,None,1,
L_w.bmp,None,None,1.0,,L_r.bmp,n,n,1.0,0.643854400026612,L_m.bmp,None,None,1.0,,L_b.bmp,None,None,1,
L_d.bmp,None,None,1.0,,L_b.bmp,None,None,1.0,,L_w.bmp,None,None,1.0,,L_l.bmp,None,None,1,
L_f.bmp,None,None,1.0,,L_k.bmp,None,None,1.0,,L_h.bmp,None,None,1.0,,L_t.bmp,None,None,1,
L_s.bmp,n,n,1.0,0.5441686999984086,L_g.bmp,None,None,1.0,,L_r.bmp,n,n,1.0,0.7068160000490025,L_p.bmp,None,None,1,
L_j.bmp,None,None,1.0,,L_s.bmp,None,n,0.0,,L_j.bmp,None,None,1.0,,L_k.bmp,None,None,1,
L_k.bmp,None,None,1.0,,L_g.bmp,n,None,0.0,0.1289474999066442,L_k.bmp,None,None,1.0,,L_f.bmp,None,None,1,
L_r.bmp,n,n,1.0,0.6170813000062481,L_b.bmp,None,None,1.0,,L_r.bmp,n,None,0.0,,L_w.bmp,None,None,1,
L_k.bmp,None,None,1.0,,L_r.bmp,None,n,0.0,,L_k.bmp,None,n,0.0,0.233711399952881,L_p.bmp,None,None,1,
L_f.bmp,None,None,1.0,,L_j.bmp,n,None,0.0,0.1519227999961003,L_f.bmp,None,None,1.0,,L_b.bmp,None,None,1,
L_l.bmp,None,None,1.0,,L_b.bmp,None,None,1.0,,L_l.bmp,None,None,1.0,,L_s.bmp,n,n,1,0.6304853999754414
L_s.bmp,n,n,1.0,0.5622973999707028,L_s.bmp,None,n,0.0,,L_t.bmp,n,n,1.0,0.6585606000153348,L_f.bmp,None,None,1,
L_n.bmp,None,None,1.0,,L_n.bmp,None,None,1.0,,L_n.bmp,None,None,1.0,,L_j.bmp,None,None,1,
L_d.bmp,None,None,1.0,,L_j.bmp,None,None,1.0,,L_d.bmp,None,None,1.0,,L_l.bmp,None,None,1,
L_s.bmp,n,n,1.0,0.5698497999692336,L_h.bmp,None,None,1.0,,L_s.bmp,n,n,1.0,0.6658604999538511,L_d.bmp,None,None,1,
L_v.bmp,None,None,1.0,,L_m.bmp,None,None,1.0,,L_v.bmp,None,None,1.0,,L_q.bmp,None,None,1,
L_f.bmp,None,None,1.0,,L_q.bmp,None,None,1.0,,L_f.bmp,None,None,1.0,,L_r.bmp,None,n,0,
L_w.bmp,None,None,1.0,,L_b.bmp,None,None,1.0,,L_w.bmp,None,None,1.0,,L_k.bmp,n,None,0,0.1680220999987796
L_q.bmp,None,None,1.0,,L_g.bmp,None,None,1.0,,L_q.bmp,None,None,1.0,,L_h.bmp,None,None,1,
L_k.bmp,None,None,1.0,,L_r.bmp,n,n,1.0,0.7064013000344858,L_k.bmp,None,None,1.0,,L_w.bmp,None,None,1,
L_b.bmp,None,None,1.0,,L_j.bmp,None,None,1.0,,L_b.bmp,None,None,1.0,,L_r.bmp,None,None,1,
L_f.bmp,None,None,1.0,,L_f.bmp,None,None,1.0,,L_j.bmp,None,None,1.0,,L_f.bmp,None,None,1,
L_j.bmp,None,None,1.0,,L_v.bmp,None,None,1.0,,L_c.bmp,None,None,1.0,,L_b.bmp,None,None,1,
L_s.bmp,n,n,1.0,0.6577569999499246,L_f.bmp,None,None,1.0,,L_s.bmp,n,n,1.0,0.6745458000805229,L_s.bmp,None,n,0,
L_b.bmp,None,None,1.0,,L_g.bmp,None,None,1.0,,L_b.bmp,None,None,1.0,,L_b.bmp,n,None,0,0.1880051000043749
L_q.bmp,None,None,1.0,,L_h.bmp,None,None,1.0,,L_q.bmp,None,None,1.0,,L_p.bmp,None,None,1,
L_m.bmp,None,None,1.0,,L_b.bmp,None,None,1.0,,L_m.bmp,None,None,1.0,,L_j.bmp,None,None,1,
L_q.bmp,None,None,1.0,,L_v.bmp,None,None,1.0,,L_q.bmp,None,None,1.0,,L_m.bmp,None,None,1,
L_f.bmp,None,None,1.0,,L_c.bmp,None,None,1.0,,L_f.bmp,None,None,1.0,,L_d.bmp,None,None,1,
L_j.bmp,None,None,1.0,,L_l.bmp,None,None,1.0,,L_j.bmp,None,None,1.0,,L_h.bmp,None,None,1,
L_m.bmp,None,None,1.0,,L_m.bmp,None,None,1.0,,L_m.bmp,None,None,1.0,,L_r.bmp,None,n,0,
L_b.bmp,None,None,1.0,,L_n.bmp,None,None,1.0,,L_b.bmp,None,None,1.0,,L_c.bmp,n,None,0,0.1886195000261068
L_w.bmp,None,None,1.0,,L_p.bmp,None,None,1.0,,L_m.bmp,None,None,1.0,,L_p.bmp,None,None,1,
L_m.bmp,None,None,1.0,,L_v.bmp,None,None,1.0,,L_b.bmp,None,None,1.0,,L_g.bmp,None,None,1,
L_n.bmp,None,None,1.0,,L_p.bmp,None,None,1.0,,L_n.bmp,None,None,1.0,,L_h.bmp,None,None,1,
L_f.bmp,None,None,1.0,,L_r.bmp,None,None,1.0,,L_f.bmp,None,None,1.0,,L_g.bmp,None,None,1,
